Date,Open,High,Low,Close,Adj Close,Volume
2000-02-11,54600.0,54600.0,54600.0,54600.0,51388.046875,276500
2000-02-14,52800.0,59600.0,48100.0,49400.0,46493.9375,6270500
2000-02-15,50000.0,51800.0,43500.0,43500.0,40941.015625,3243000
2000-02-16,42000.0,48700.0,40000.0,48700.0,45835.11328125,4357000
2000-02-17,49200.0,53500.0,47000.0,48700.0,45835.11328125,5099000
2000-02-18,50100.0,51300.0,45000.0,45600.0,42917.484375,4561500
2000-02-21,42000.0,45600.0,40300.0,41300.0,38870.4375,2943000
2000-02-22,43000.0,44400.0,38200.0,39200.0,36893.97265625,2408500
2000-02-23,37400.0,38600.0,34500.0,36000.0,33882.22265625,2307500
2000-02-24,39800.0,40300.0,38000.0,40300.0,37929.265625,990500
2000-02-25,43900.0,44300.0,39600.0,40000.0,37646.91015625,2525500
2000-02-28,38000.0,41000.0,36700.0,36800.0,34635.1640625,2360000
2000-02-29,38200.0,39000.0,35700.0,36800.0,34635.1640625,1387000
2000-03-01,36800.0,36800.0,36800.0,36800.0,34635.1640625,0
2000-03-02,38000.0,39000.0,34600.0,35900.0,33788.1015625,1545000
2000-03-03,31600.0,33000.0,31600.0,31600.0,29741.060546875,3083500
2000-03-06,33000.0,33500.0,28400.0,29400.0,27670.48046875,2384500
2000-03-07,28300.0,31800.0,27000.0,31200.0,29364.59375,2919500
2000-03-08,29600.0,33400.0,29400.0,32000.0,30117.53125,3829000
2000-03-09,32800.0,35800.0,31000.0,35800.0,33693.98828125,3285500
2000-03-10,37000.0,39200.0,33800.0,35400.0,33317.515625,4028500
2000-03-13,35400.0,36000.0,31200.0,31400.0,29552.822265625,2403500
2000-03-14,28600.0,31000.0,28200.0,29100.0,27388.12890625,2162500
2000-03-15,28000.0,30800.0,26800.0,28500.0,26823.42578125,3103500
2000-03-16,29000.0,31700.0,27700.0,29400.0,27670.48046875,5300500
2000-03-17,28600.0,29000.0,25900.0,25900.0,24376.375,1771500
2000-03-20,25000.0,25000.0,22800.0,22800.0,21458.7421875,1413000
2000-03-21,20400.0,23500.0,20100.0,22000.0,20705.8046875,3608000
2000-03-22,23000.0,24600.0,22600.0,22900.0,21552.861328125,3315500
2000-03-23,23900.0,24600.0,21200.0,22000.0,20705.8046875,2398000
2000-03-24,22700.0,23200.0,21000.0,21800.0,20517.56640625,1473500
2000-03-27,22200.0,23800.0,21100.0,23100.0,21741.091796875,3130000
2000-03-28,23200.0,23900.0,22800.0,23100.0,21741.091796875,1361000
2000-03-29,22000.0,22800.0,20400.0,20600.0,19388.16015625,1199500
2000-03-30,19300.0,23000.0,18200.0,23000.0,21646.974609375,2942000
2000-03-31,22300.0,24400.0,20400.0,20500.0,19294.044921875,3278000
2000-04-03,21000.0,21500.0,18340.0,19300.0,18164.634765625,1846500
2000-04-04,18400.0,18700.0,17120.0,17560.0,16526.99609375,2626500
2000-04-05,17560.0,17560.0,17560.0,17560.0,16526.99609375,0
2000-04-06,17600.0,19360.0,17400.0,17840.0,16790.5234375,3443000
2000-04-07,18800.0,19980.0,18400.0,19980.0,18804.6328125,2069500
2000-04-10,21600.0,22300.0,21200.0,22300.0,20988.15234375,521000
2000-04-11,20100.0,23400.0,19900.0,20000.0,18823.455078125,4113000
2000-04-12,19400.0,20000.0,18800.0,19400.0,18258.75390625,1486500
2000-04-13,19400.0,19400.0,19400.0,19400.0,18258.75390625,0
2000-04-14,18000.0,18400.0,17080.0,17080.0,16075.2314453125,1182500
2000-04-17,15040.0,15040.0,15040.0,15040.0,14155.23828125,37500
2000-04-18,15420.0,16580.0,13240.0,13480.0,12687.0107421875,3155500
